by_binomial,creole,BY_spec_grav,family,genus,species,species_abbr,wd_avg
casearia spp.,kafe mawon,0.7,Flacourtiaceae,Casearia,spp.,spp.,0.7
beilschmiedia pendula,bwa nwa,0.54,Lauraceae,Beilschmiedia,pendula,pendula,0.54
clusia minor,bwa pal,,Clusiaceae,Clusia,minor,minor,
clusia minor,figye modi,,Clusiaceae,Clusia,minor,minor,
clusia minor,figye,,Clusiaceae,Clusia,minor,minor,
clusia rosea,bwa pal,,Clusiaceae,Clusia,rosea,rosea,
clusia rosea,figye modi mawon,,Clusiaceae,Clusia,rosea,rosea,
andira inermis,bwa palmis,,Fabaceae,Andira,inermis,inermis,
antirhea lucida,bwa patat,,Rubiaceae,Antirhea,lucida,lucida,
antirhea lucida,zaboka mawon,,Rubiaceae,Antirhea,lucida,lucida,
pinus caribaea,bwa pen,0.26-0.78,Pinaceae,Pinus,caribaea,caribaea,0.52
pinus occidentalis,bwa pen,0.58-0.76,Pinaceae,Pinus,occidentalis,occidentalis,0.6699999999999999
mecranium amygdalinum,bwa pijon,,Melastomataceae,Mecranium,amygdalinum,amygdalinum,
zanthoxylum flavum,bwa pine,0.65-0.9,Rutaceae,Zanthoxylum,flavum,flavum,0.775
zanthoxylum monophyllum,bwa pine,0.76,Rutaceae,Zanthoxylum,monophyllum,monophyllum,0.76
colubrina arborescens,bwa ple,0.55-0.82,Rhamnaceae,Colubrina,arborescens,arborescens,0.685
colubrina arborescens,kapab,0.55-0.82,Rhamnaceae,Colubrina,arborescens,arborescens,0.685
colubrina arborescens,bwa kapab,0.55-0.82,Rhamnaceae,Colubrina,arborescens,arborescens,0.685
myrsine coriacea,bwa plom,0.7,Myrsinaceae,Myrsine,coriacea,coriacea,0.7
myrsine coriacea,mang,0.7,Myrsinaceae,Myrsine,coriacea,coriacea,0.7
myrsine coriacea,bwa savann,0.7,Myrsinaceae,Myrsine,coriacea,coriacea,0.7
diospyros spp.,bwa raid,0.6-0.8,Ebenaceae,Diospyros,spp.,spp.,0.7
diospyros spp.,ebenn,0.6-0.8,Ebenaceae,Diospyros,spp.,spp.,0.7
acacia scleroxyla,bwa savann,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999
acacia scleroxyla,kandelon,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999
acacia scleroxyla,tandrakayou,0.88-0.94,Fabaceae,Acacia,scleroxyla,scleroxyla,0.9099999999999999
thevetia peruviana,bwa sezisman,,Apocynaceae,Thevetia,peruviana,peruviana,
cordia alliodora,bwa soumi,0.4-0.52,Boraginaceae,Cordia,alliodora,alliodora,0.46
cordia alliodora,chenn kapawo,0.4-0.52,Boraginaceae,Cordia,alliodora,alliodora,0.46
trema micrantha,bwa swa,0.4,Ulmaceae,Trema,micrantha,micrantha,0.4
muntingia calabura,bwa swamawon,,Elaeocarpaceae,Muntingia,calabura,calabura,
enterolobium cyclocarpum,bwa tanis wouj,0.34-0.65,Fabaceae,Enterolobium,cyclocarpum,cyclocarpum,0.495
buxus spp. ,bwa ti fey,,Buxaceae,Buxus,spp.,spp.,
eugenia foetida,bwa ti fey,,Myrtaceae,Eugenia,foetida,foetida,
picramnia pentandra,bwa ti gason,,Simaroubaceae,Picramnia,pentandra,pentandra,
manilkara albescens,bwa wil,,Sapotaceae,Manilkara,albescens,albescens,
manilkara albescens,sapoti mawon,,Sapotaceae,Manilkara,albescens,albescens,
guarea spp.,bwa wouj,0.4-0.65,Meliaceae,Guarea,spp.,spp.,0.525
citrus spp.,sitwon,,Rutaceae,Citrus,spp.,spp.,
citrus spp.,zoranj,,Rutaceae,Citrus,spp.,spp.,
hypelate trifoliata,chandel mawon,,Sapindaceae,Hypelate,trifoliata,trifoliata,
catalpa longissima,chenn,0.6-0.8,Bignoniaceae,Catalpa,longissima,longissima,0.7
catalpa longissima,bwa chenn,0.6-0.8,Bignoniaceae,Catalpa,longissima,longissima,0.7
tecoma stans,chevalye,,Bignoniaceae,Tecoma,stans,stans,
calophyllum calaba,damari,0.4-0.52,Clusiaceae,Calophyllum,calaba,calaba,0.46
phoenix dactylifera,dat,,Arecaceae,Phoenix,dactylifera,dactylifera,
bauhinia monandra,de jimel,,Fabaceae,Bauhinia,monandra,monandra,
bauhinia monandra,jimel,,Fabaceae,Bauhinia,monandra,monandra,
leucaena leucocephala subsp. leucocephala,delen,0.7,Fabaceae,Leucaena,leucocephala subsp. leucocephala,leucocephala,0.7
leucaena leucocephala subsp. leucocephala,madlenn,0.7,Fabaceae,Leucaena,leucocephala subsp. leucocephala,leucocephala,0.7
caesalpinia coriaria,divi divi,0.9-1.2,Fabaceae,Caesalpinia,coriaria,coriaria,1.05
caesalpinia coriaria,gwatapana,0.9-1.2,Fabaceae,Caesalpinia,coriaria,coriaria,1.05
ocotea leucoxylon,dolic,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45
ocotea leucoxylon,lorie blan,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45
ocotea leucoxylon,lorie gep,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45
ocotea leucoxylon,lorie woz,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45
ocotea leucoxylon,lorie,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45
bontia daphnoides,doliv bata,,Myoporaceae,Bontia,daphnoides,daphnoides,
bontia daphnoides,mang mawon,,Myoporaceae,Bontia,daphnoides,daphnoides,
rochefortia acanthophora,ebenn,,Boraginaceae,Rochefortia,acanthophora,acanthophora,
rochefortia acanthophora,gratgal,,Boraginaceae,Rochefortia,acanthophora,acanthophora,
thespesia populnea,fey dayiti,,Malvaceae,Thespesia,populnea,populnea,
thespesia populnea,gran maho,,Malvaceae,Thespesia,populnea,populnea,
thespesia populnea,motel debou,,Malvaceae,Thespesia,populnea,populnea,
myrsine guianensis,fey kanel,,Myrsinaceae,Myrsine,guianensis,guianensis,
jatropha spp.,fey medsen,,Euphorbiaceae,Jatropha,spp.,spp.,
jatropha spp.,papay sovaj,,Euphorbiaceae,Jatropha,spp.,spp.,
ficus trigonata,figye wouj,,Moraceae,Ficus,trigonata,trigonata,
ficus trigonata,figye,,Moraceae,Ficus,trigonata,trigonata,
delonix regia ,flambwayan,0.8,Fabaceae,Delonix,regia,regia,0.8
hamelia patens,fle koray,,Rubiaceae,Hamelia,patens,patens,
hamelia patens,koray wouj,,Rubiaceae,Hamelia,patens,patens,
plumeria spp.,franjipani,,Apocynaceae,Plumeria,spp.,spp.,
picrasma excelsa,fwenn,,Simaroubaceae,Picrasma,excelsa,excelsa,
picrasma excelsa,fori fwenn,,Simaroubaceae,Picrasma,excelsa,excelsa,
euphorbia spp.,gad mezon,,Euphorbiaceae,Euphorbia,spp.,spp.,
euphorbia spp.,kandelab,,Euphorbiaceae,Euphorbia,spp.,spp.,
pictetia spinifolia,galgal,0.97-1.31,Fabaceae,Pictetia,spinifolia,spinifolia,1.1400000000000001
guaiacum spp.,gayak,0.89-1.3,Zygophyllaceae,Guaiacum,spp.,spp.,1.095
guaiacum officinale,gayak,,Zygophyllaceae,Guaiacum,officinale,officinale,
bursera simaruba,gomye,0.26-0.4,Burseraceae,Bursera,simaruba,simaruba,0.33
hibiscus tiliaceus,gran majo,0.6,Malvaceae,Hibiscus,tiliaceus,tiliaceus,0.6
hibiscus tiliaceus,majo fran,0.6,Malvaceae,Hibiscus,tiliaceus,tiliaceus,0.6
pictetia aculeata,gratgal,0.8,Fabaceae,Pictetia,aculeata,aculeata,0.8
adelia ricinella,grenad mawon,,Euphorbiaceae,Adelia,ricinella,ricinella,
citharexylum fruticosum,grenad mawon,0.65-0.95,Verbenaceae,Citharexylum,fruticosum,fruticosum,0.8
citharexylum fruticosum,kafe mawon,0.65-0.95,Verbenaceae,Citharexylum,fruticosum,fruticosum,0.8
citharexylum fruticosum,madam klod,0.65-0.95,Verbenaceae,Citharexylum,fruticosum,fruticosum,0.8
citharexylum fruticosum,pendoula,0.65-0.95,Verbenaceae,Citharexylum,fruticosum,fruticosum,0.8
grevillea robusta,grevilya,0.4-0.52,Proteaceae,Grevillea,robusta,robusta,0.46
bucida buceras,grigri mon,0.75-0.93,Combretaceae,Bucida,buceras,buceras,0.8400000000000001
bucida buceras,bwa grigri,0.75-0.93,Combretaceae,Bucida,buceras,buceras,0.8400000000000001
psidium guajava,gwayav,0.8,Myrtaceae,Psidium,guajava,guajava,0.8
chrysobalanus icaco,ikak,0.8,Chrysobalanaceae,Chrysobalanus,icaco,icaco,0.8
cananga odorata,ilan ilan,0.3,Annonaceae,Cananga,odorata,odorata,0.3
jacaranda mimosifolia,jakaranda,,Bignoniaceae,Jacaranda,mimosifolia,mimosifolia,
artocarpus spp.,jakiye,0.27-0.4,Moraceae,Artocarpus,spp.,spp.,0.335
artocarpus spp.,laba pen,0.27-0.4,Moraceae,Artocarpus,spp.,spp.,0.335
artocarpus spp.,lam veritab,0.27-0.4,Moraceae,Artocarpus,spp.,spp.,0.335
genipa americana var. caruto,jinpa,0.52-0.66,Rubiaceae,Genipa,americana var. caruto,americana,0.5900000000000001
pouteria sapota,jon def,0.6,Sapotaceae,Pouteria,sapota,sapota,0.6
coffea arabica,kafe,,Rubiaceae,Coffea,arabica,arabica,
citharexylum caudatum,kafe mawon,,Verbenaceae,Citharexylum,caudatum,caudatum,
citharexylum caudatum,kafe sovaj,,Verbenaceae,Citharexylum,caudatum,caudatum,
bourreria spp.,kafe mawon,,Boraginaceae,Bourreria,spp.,spp.,
bourreria spp.,mapou gri,,Boraginaceae,Bourreria,spp.,spp.,
swietenia macrophylla,kajou etranje,0.48-0.6,Meliaceae,Swietenia,macrophylla,macrophylla,0.54
swietenia macrophylla,kajou venezwela,0.48-0.6,Meliaceae,Swietenia,macrophylla,macrophylla,0.54
swietenia mahagoni,kajou,0.57-0.8,Meliaceae,Swietenia,mahagoni,mahagoni,0.685
swietenia mahagoni,kajou peyi,0.57-0.8,Meliaceae,Swietenia,mahagoni,mahagoni,0.685
theobroma cacao subsp. cacao ,kakawo,,Malvaceae,Theobroma,cacao subsp. cacao,cacao,
guettarda spp. ,kal nwa,0.8-0.83,Rubiaceae,Guettarda,spp.,spp.,0.815
crescentia cujete,kalbas,0.5-0.8,Bignoniaceae,Crescentia,cujete,cujete,0.65
dendrosicus latifolius,kalbas zombi,,Bignoniaceae,Dendrosicus,latifolius,latifolius,
calliandra calothyrsus,kaliandra,,Fabaceae,Calliandra,calothyrsus,calothyrsus,
eucalyptus spp.,kaliptis,,Myrtaceae,Eucalyptus,spp.,spp.,
eucalyptus camaldulensis,kaliptis,,Myrtaceae,Eucalyptus,camaldulensis,camaldulensis,
eucalyptus globulus,kaliptis,0.67-0.8,Myrtaceae,Eucalyptus,globulus,globulus,0.7350000000000001
haematoxylon brasiletto,kampech,0.71-0.9,Fabaceae,Haematoxylon,brasiletto,brasiletto,0.8049999999999999
haematoxylon spp.,kampech,,Fabaceae,Haematoxylon,spp.,spp.,
haematoxylon campechianum,kampech,0.54-0.95,Fabaceae,Haematoxylon,campechianum,campechianum,0.745
pithecellobium circinale,kampech mawon,0.91-1.12,Fabaceae,Pithecellobium,circinale,circinale,1.0150000000000001
canella winterana,kanel,0.9-1,Canellaceae,Canella,winterana,winterana,0.95
cinnamomum verum,kanel,,Lauraceae,Cinnamomum,verum,verum,
myrica cerifera,kanel abey,,Myricaceae,Myrica,cerifera,cerifera,
myrica cerifera,kanel dous,,Myricaceae,Myrica,cerifera,cerifera,
pouteria dictyoneura ssp. fuertesii,karakole,,Sapotaceae,Pouteria,dictyoneura ssp. fuertesii,dictyoneura,
averrhoa carambola,karambola,,Oxalidaceae,Averrhoa,carambola,carambola,
cassia javanica,kas,,Fabaceae,Cassia,javanica,javanica,
cassia fistula,kas dou,0.9,Fabaceae,Cassia,fistula,fistula,0.9
cassia fistula,kas panyol,0.9,Fabaceae,Cassia,fistula,fistula,0.9
senna spectabilis,kas mawon,,Fabaceae,Senna,spectabilis,spectabilis,
senna siamea,kasya,0.57-0.83,Fabaceae,Senna,siamea,siamea,0.7
ficus elastica,kawotchou,,Moraceae,Ficus,elastica,elastica,
ficus elastica,figye,,Moraceae,Ficus,elastica,elastica,
hevea brasiliensis,kawotchou,0.4-0.52,Euphorbiaceae,Hevea,brasiliensis,brasiliensis,0.46
chrysophyllum cainito,kaymit,0.7,Sapotaceae,Chrysophyllum,cainito,cainito,0.7
chrysophyllum oliviforme,kaymit mawon,0.9,Sapotaceae,Chrysophyllum,oliviforme,oliviforme,0.9
chionanthus domingensis,kaypon,,Oleaceae,Chionanthus,domingensis,domingensis,
casuarina spp.,kazowina,0.78-1.2,Casuarinaceae,Casuarina,spp.,spp.,0.99
casuarina spp.,pich pen,0.78-1.2,Casuarinaceae,Casuarina,spp.,spp.,0.99
casuarina spp.,bwa pen,0.78-1.2,Casuarinaceae,Casuarina,spp.,spp.,0.99
melicoccus bijugatus,kenep,,Sapindaceae,Melicoccus,bijugatus,bijugatus,
exostema caribaem,kenkena peyi,0.98-1.13,Rubiaceae,Exostema,caribaem,caribaem,1.055
exostema caribaem,kininn,0.98-1.13,Rubiaceae,Exostema,caribaem,caribaem,1.055
ziziphus spp.,kok mol,0.9,Rhamnaceae,Ziziphus,spp.,spp.,0.9
cordia sebestena,kokelika,0.7,Boraginaceae,Cordia,sebestena,sebestena,0.7
cordia sebestena,ti soley,0.7,Boraginaceae,Cordia,sebestena,sebestena,0.7
acrocomia aculeata,koko ginen,,Arecaceae,Acrocomia,aculeata,aculeata,
cocos nucifera,kokoye,,Arecaceae,Cocos,nucifera,nucifera,
pachira spp. ,kolorad,,Bombacaceae,Pachira,spp.,spp.,
bumelia salicifolia,koma wouj,0.9-0.99,Sapotaceae,Bumelia,salicifolia,salicifolia,0.9450000000000001
bumelia salicifolia,sip,0.9-0.99,Sapotaceae,Bumelia,salicifolia,salicifolia,0.9450000000000001
bumelia salicifolia,bwa sip,0.9-0.99,Sapotaceae,Bumelia,salicifolia,salicifolia,0.9450000000000001
mouriri domingensis,komiye,,Melastomataceae,Mouriri,domingensis,domingensis,
calotropis procera,koton swa,,Asclepiadadceae,Calotropis,procera,procera,
ochroma pyramidale,koton swa,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24
ochroma pyramidale,mahodem,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24
hymenaea courbaril,koubari,0.71-0.82,Fabaceae,Hymenaea,courbaril,courbaril,0.7649999999999999
hymenaea courbaril,pwa konfiti,0.71-0.82,Fabaceae,Hymenaea,courbaril,courbaril,0.7649999999999999
annona muricata,kowosol,,Annonaceae,Annona,muricata,muricata,
annona spp.,kowosol,0.4-0.5,Annonaceae,Annona,spp.,spp.,0.45
annona spp.,kachiman,0.4-0.5,Annonaceae,Annona,spp.,spp.,0.45
suriana maritima,krist marinn,,Simaroubaceae,Suriana,maritima,maritima,
randia aculeata,krok chen,,Rubiaceae,Randia,aculeata,aculeata,
ximenia americana,krok,0.95,Olacaceae,Ximenia,americana,americana,0.95
ximenia americana,makabi,0.95,Olacaceae,Ximenia,americana,americana,0.95
elaeis guineensis,kwokwo ginen,,Arecaceae,Elaeis,guineensis,guineensis,
prunus occidentalis,lamandye gran fey,0.9-1.05,Rosaceae,Prunus,occidentalis,occidentalis,0.9750000000000001
