sp_creole,dbh_cm,ht_m,ba_m2,plot_no,plot_shp,plot_area,genus
mango,27.8,,0.06069871166000841,9,Augier.shp,2.503314,Mangifera
sitwon,10.1,,0.008011846664817369,9,Augier.shp,2.503314,Citrus
latanye lame,72.4,,0.4116868676970209,9,Augier.shp,2.503314,Thrinax
mango,41.5,,0.13526519869112552,9,Augier.shp,2.503314,Mangifera
mango,28.3,,0.06290175350833825,9,Augier.shp,2.503314,Mangifera
mango,26.4,,0.05473911039614856,9,Augier.shp,2.503314,Mangifera
mango,31.4,,0.07743711731833482,9,Augier.shp,2.503314,Mangifera
mango,24.5,,0.04714352475793183,9,Augier.shp,2.503314,Mangifera
mango,23.1,,0.04190963139705124,9,Augier.shp,2.503314,Mangifera
latanye lame,24.2,,0.04599605804120816,9,Augier.shp,2.503314,Thrinax
latanye lame,18.3,,0.026302199094017143,9,Augier.shp,2.503314,Thrinax
latanye lame,61.5,,0.29705722035099985,9,Augier.shp,2.503314,Thrinax
mango,21.5,,0.036305030103047045,9,Augier.shp,2.503314,Mangifera
latanye lame,44.4,,0.15483025233951936,9,Augier.shp,2.503314,Thrinax
mango,30.5,,0.07306166415004763,9,Augier.shp,2.503314,Mangifera
mango,23.2,,0.04227327074670425,9,Augier.shp,2.503314,Mangifera
mango,32.5,,0.08295768100885548,9,Augier.shp,2.503314,Mangifera
latanye lame,66.5,,0.3473227028084366,9,Augier.shp,2.503314,Thrinax
latanye lame,67.2,,0.35467324421967333,9,Augier.shp,2.503314,Thrinax
mango,24.5,,0.04714352475793183,9,Augier.shp,2.503314,Mangifera
mango,34.5,,0.09348201639838126,9,Augier.shp,2.503314,Mangifera
latanye lame,14.5,,0.01651299638543135,9,Augier.shp,2.503314,Thrinax
latanye lame,19.5,,0.029864765163187975,9,Augier.shp,2.503314,Thrinax
mango,42.4,,0.14119574022293965,9,Augier.shp,2.503314,Mangifera
chenn,33.7,,0.08919688401888481,9,Augier.shp,2.503314,Catalpa
latanye lame,41.5,,0.13526519869112552,9,Augier.shp,2.503314,Thrinax
latanye lame,17.1,,0.022965827695904786,9,Augier.shp,2.503314,Thrinax
latanye lame,8.7,,0.0059446786987552855,9,Augier.shp,2.503314,Thrinax
latanye lame,45.9,,0.16546847046273777,9,Augier.shp,2.503314,Thrinax
latanye lame,74.7,,0.4382592437592467,9,Augier.shp,2.503314,Thrinax
latanye,36.5,,0.10463467031862503,9,Augier.shp,2.503314,Coccothrinax
mango,33.3,,0.08709201694097962,9,Augier.shp,2.503314,Mangifera
latanye lame,33.5,,0.08814130888727865,9,Augier.shp,2.503314,Thrinax
latanye lame,31.5,,0.07793113276311181,9,Augier.shp,2.503314,Thrinax
mango,49.5,,0.19244218498645976,9,Augier.shp,2.503314,Mangifera
mango,27.5,10.4,0.05939573610693204,9,Augier.shp,2.503314,Mangifera
zaboka,19.5,,0.029864765163187975,9,Augier.shp,2.503314,Persea
mango,31.5,,0.07793113276311181,9,Augier.shp,2.503314,Mangifera
latanye lame,61.2,,0.29416616971153386,9,Augier.shp,2.503314,Thrinax
latanye lame,48.5,,0.18474528298516477,9,Augier.shp,2.503314,Thrinax
latanye lame,102.3,,0.821941954542168,9,Augier.shp,2.503314,Thrinax
mango,15.3,,0.018385385606970867,9,Augier.shp,2.503314,Mangifera
mango,29.3,,0.06742564692950753,9,Augier.shp,2.503314,Mangifera
latanye,25.9,,0.05268529419886423,9,Augier.shp,2.503314,Coccothrinax
mango,10.2,,0.00817128249198705,9,Augier.shp,2.503314,Mangifera
mango,41.4,,0.13461410361366904,9,Augier.shp,2.503314,Mangifera
mango,53.8,,0.22732878600641096,9,Augier.shp,2.503314,Mangifera
latanye lame,36.1,,0.10235387405211885,9,Augier.shp,2.503314,Thrinax
mango,46.4,,0.169093082986817,9,Augier.shp,2.503314,Mangifera
latanye lame,21.4,,0.03596809429094954,9,Augier.shp,2.503314,Thrinax
zaboka,18.5,,0.026880252142277666,9,Augier.shp,2.503314,Persea
latanye lame,27.5,,0.05939573610693204,9,Augier.shp,2.503314,Thrinax
latanye lame,56.4,,0.24983201418407466,9,Augier.shp,2.503314,Thrinax
chenn,34.5,,0.09348201639838126,9,Augier.shp,2.503314,Catalpa
latanye lame,67.5,,0.35784703819796243,9,Augier.shp,2.503314,Thrinax
latanye,25.5,,0.051070515574919075,9,Augier.shp,2.503314,Coccothrinax
latanye,32.0,,0.0804247719318987,9,Augier.shp,2.503314,Coccothrinax
latanye lame,36.9,,0.10694059932635996,9,Augier.shp,2.503314,Thrinax
latanye lame,45.4,,0.16188312784682843,9,Augier.shp,2.503314,Thrinax
mango,37.4,,0.10985835350338148,9,Augier.shp,2.503314,Mangifera
mango,28.9,,0.06559724000511827,9,Augier.shp,2.503314,Mangifera
mango,26.4,,0.05473911039614856,9,Augier.shp,2.503314,Mangifera
mango,64.9,,0.3308104918211687,9,Augier.shp,2.503314,Mangifera
mango,49.1,,0.18934457463002022,9,Augier.shp,2.503314,Mangifera
mango,25.9,,0.05268529419886423,9,Augier.shp,2.503314,Mangifera
zaboka,25.6,,0.05147185403641517,9,Augier.shp,2.503314,Persea
mango,31.3,,0.07694467266988461,9,Augier.shp,2.503314,Mangifera
zaboka,19.1,,0.028652110398902312,9,Augier.shp,2.503314,Persea
latanye lame,73.5,,0.42429172282138644,9,Augier.shp,2.503314,Thrinax
mango,16.5,,0.021382464998495533,9,Augier.shp,2.503314,Mangifera
mango,14.3,,0.016060607043314423,9,Augier.shp,2.503314,Mangifera
mango,31.5,,0.07793113276311181,9,Augier.shp,2.503314,Mangifera
latanye lame,48.7,,0.18627209701480946,9,Augier.shp,2.503314,Thrinax
latanye lame,53.3,,0.22312297884141763,9,Augier.shp,2.503314,Thrinax
latanye lame,29.4,,0.06788667565142183,9,Augier.shp,2.503314,Thrinax
bayawonn,10.5,,0.008659014751456867,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,9.0,,0.0063617251235193305,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,8.5,,0.005674501730546565,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,7.8,,0.004778362426110076,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,7.1,,0.003959192141686536,10,Plot_1BO.shp,0.757182,Prosopis
kampech,12.5,,0.01227184630308513,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,5.5,,0.002375829444277281,10,Plot_1BO.shp,0.757182,Haematoxylon
tandrakayou,6.9,,0.0037392806559352516,10,Plot_1BO.shp,0.757182,Acacia
tandrakayou,5.5,,0.002375829444277281,10,Plot_1BO.shp,0.757182,Acacia
kampech,22.5,,0.03976078202199582,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,5.5,,0.002375829444277281,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,17.0,,0.02269800692218626,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,11.0,,0.009503317777109124,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,27.2,,0.05810689772079682,10,Plot_1BO.shp,0.757182,Haematoxylon
tandrakayou,14.4,,0.01628601631620949,10,Plot_1BO.shp,0.757182,Acacia
tandrakayou,12.4,,0.012076282160399163,10,Plot_1BO.shp,0.757182,Acacia
bayawonn,7.5,,0.004417864669110647,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,10.0,,0.007853981633974483,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,15.3,,0.018385385606970867,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,10.2,,0.00817128249198705,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,10.4,,0.008494866535306803,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,17.3,,0.023506181632322234,10,Plot_1BO.shp,0.757182,Prosopis
kampech,9.0,,0.0063617251235193305,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,5.8,,0.0026420794216690155,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,5.6,,0.0024630086404143973,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,6.0,,0.0028274333882308137,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,6.0,,0.0028274333882308137,10,Plot_1BO.shp,0.757182,Haematoxylon
tandrakayou,10.5,,0.008659014751456867,10,Plot_1BO.shp,0.757182,Acacia
kampech,5.6,,0.0024630086404143973,10,Plot_1BO.shp,0.757182,Haematoxylon
bayawonn,17.2,,0.023235219265950107,10,Plot_1BO.shp,0.757182,Prosopis
kampech,5.9,,0.002733971006786518,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,16.5,,0.021382464998495533,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,6.0,,0.0028274333882308137,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,10.0,,0.007853981633974483,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,27.6,,0.059828490494964026,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,10.0,,0.007853981633974483,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,9.2,,0.006647610054996002,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,6.7,,0.003525652355491146,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,9.1,,0.00650388219109427,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,11.4,,0.010207034531513238,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,9.4,,0.006939778171779853,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,11.9,,0.011122023391871266,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,16.0,,0.020106192982974676,10,Plot_1BO.shp,0.757182,Haematoxylon
bayawonn,9.0,,0.0063617251235193305,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,9.7,,0.0073898113194065885,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,9.8,,0.0075429639612690945,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,10.5,,0.008659014751456867,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,7.0,,0.003848451000647497,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,8.0,,0.005026548245743669,10,Plot_1BO.shp,0.757182,Prosopis
bayawonn,12.0,,0.011309733552923255,10,Plot_1BO.shp,0.757182,Prosopis
kaymit,5.0,,0.001963495408493621,10,Plot_1BO.shp,0.757182,Chrysophyllum
kampech,5.5,,0.002375829444277281,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,6.5,,0.0033183072403542195,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,6.4,2.0,0.003216990877275948,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,5.7,,0.0025517586328783095,10,Plot_1BO.shp,0.757182,Haematoxylon
kaymit,5.0,,0.001963495408493621,10,Plot_1BO.shp,0.757182,Chrysophyllum
kaymit,5.1,,0.0020428206229967626,10,Plot_1BO.shp,0.757182,Chrysophyllum
piyon,5.2,,0.0021237166338267006,10,Plot_1BO.shp,0.757182,Gliricidia
kaymit,5.6,,0.0024630086404143973,10,Plot_1BO.shp,0.757182,Chrysophyllum
kaymit,6.2,,0.003019070540099791,10,Plot_1BO.shp,0.757182,Chrysophyllum
kaymit,5.0,,0.001963495408493621,10,Plot_1BO.shp,0.757182,Chrysophyllum
kampech,6.0,,0.0028274333882308137,10,Plot_1BO.shp,0.757182,Haematoxylon
kampech,5.5,2.0,0.002375829444277281,10,Plot_1BO.shp,0.757182,Haematoxylon
