species_binomial,family,genus,species,wd
anacardium occidentale,Anacardiaceae,Anacardium,occidentale,
andira inermis,Fabaceae,Andira,inermis,
annona cherimola,Annonaceae,Annona,cherimola,
annona domingensis,Annonaceae,Annona,domingensis,
annona dumertorum,Annonaceae,Annona,dumertorum,
annona frutescens,Annonaceae,Annona,frutescens,
annona glabra,Annonaceae,Annona,glabra,
annona gracilis,Annonaceae,Annona,gracilis,
annona micrantha,Annonaceae,Annona,micrantha,
annona montana,Annonaceae,Annona,montana,
annona muricata,Annonaceae,Annona,muricata,
annona reticulata,Annonaceae,Annona,reticulata,
annona rosei,Annonaceae,Annona,rosei,
annona salicifolia,Annonaceae,Annona,salicifolia,
annona spp.,Annonaceae,Annona,,0.45
annona squamosa,Annonaceae,Annona,squamosa,
annona urbaniana,Annonaceae,Annona,urbaniana,
antirhea lucida,Rubiaceae,Antirhea,lucida,
araucaria heterophylla,Araucariaceae,Araucaria,heterophylla,0.45
arcoa gonavensis,Fabaceae,Arcoa,gonavensis,
ardisia angustata,Myrsinaceae,Ardisia,angustata,
ardisia brachypoda,Myrsinaceae,Ardisia,brachypoda,
ardisia obovata,Myrsinaceae,Ardisia,obovata,
ardisia picardae,Myrsinaceae,Ardisia,picardae,
ardisia spp.,Myrsinaceae,Ardisia,,
artocarpus altilis,Moraceae,Artocarpus,altilis,
artocarpus heterophyllus,Moraceae,Artocarpus,heterophyllus,
artocarpus spp.,Moraceae,Artocarpus,,0.335
aspidosperma cuspa,Apocynaceae,Aspidosperma,cuspa,
attalea crassispatha,Arecaceae,Attalea,crassispatha,
averrhoa bilimbi,Oxalidaceae,Averrhoa,bilimbi,
averrhoa carambola,Oxalidaceae,Averrhoa,carambola,
averrhoa spp.,Oxalidaceae,Averrhoa,,
avicennia germinans,Verbenaceae,Avicennia,germinans,0.9
avicennia spp.,Verbenaceae,Avicennia,,
azadirachta indica,Meliaceae,Azadirachta,indica,0.585
bactris plumeriana,Arecaceae,Bactris,plumeriana,
bambusa vulgaris,Poaceae,Bambusa,vulgaris,
barringtonia asiatica,Lecythidaceae,Barringtonia,asiatica,
bauhinia divaricata,Fabaceae,Bauhinia,divaricata,
bauhinia monandra,Fabaceae,Bauhinia,monandra,
bauhinia variegata,Fabaceae,Bauhinia,variegata,
beilschmiedia pendula,Lauraceae,Beilschmiedia,pendula,0.54
bernardia dichotoma,Euphorbiaceae,Bernardia,dichotoma,
berrya ameliae,Malvaceae,Berrya,ameliae,
berrya cubensis,Malvaceae,Berrya,cubensis,
bixa orellana,Bixaceae,Bixa,orellana,0.4
bixa urucurana,Bixaceae,Bixa,urucurana,
blechnum underwoodianum,Blechnaceae,Blechnum,underwoodianum,
blighia sapida,Sapindaceae,Blighia,sapida,
bocconia frutescens,Papaveraceae,Bocconia,frutescens,
bombacopsis emarginata,Bombacaceae,Bombacopsis,emarginata,
bontia daphnoides,Myoporaceae,Bontia,daphnoides,
bourreria baccata,Boraginaceae,Bourreria,baccata,
bourreria spp.,Boraginaceae,Bourreria,,
bourreria succulenta,Boraginaceae,Bourreria,succulenta,
bourreria virgata,Boraginaceae,Bourreria,virgata,
brassaia actinophylla,Araliaceae,Brassaia,actinophylla,
brunellia comocladiifolia,Cunoniaceae,Brunellia,comocladiifolia,0.3
brunfelsia americana,Solanaceae,Brunfelsia,americana,
buchenavia capitata,Combretaceae,Buchenavia,capitata,0.585
buchenavia tetraphylla,Combretaceae,Buchenavia,tetraphylla,
bucida buceras,Combretaceae,Bucida,buceras,0.8400000000000001
bucida spinosa,Combretaceae,Bucida,spinosa,
bunchosia glandulifera,,Bunchosia,glandulifera,
bunchosia glandulosa,Malpighiaceae,Bunchosia,glandulosa,
bunchosia media,Malpighiaceae,Bunchosia,media,
bunchosia nitida,Malpighiaceae,Bunchosia,nitida,
bunchosia spp.,,Bunchosia,,
bursera simaruba,Burseraceae,Bursera,simaruba,0.33
buxus glomerata,Buxaceae,Buxus,glomerata,
buxus spp. ,Buxaceae,Buxus,,
byra buxifolia,Fabaceae,Byra,buxifolia,
byrsonima coriacea,Malpighiaceae,Byrsonima,coriacea,
byrsonima crassifolia,Malpighiaceae,Byrsonima,crassifolia,0.7
byrsonima lucida,Malpighiaceae,Byrsonima,lucida,
byrsonima spicata,Malpighiaceae,Byrsonima,spicata,0.585
byrsonima spp.,Malpighiaceae,Byrsonima,,
caesalpinia bahamensis,Fabaceae,Caesalpinia,bahamensis,
caesalpinia barahonensis,Fabaceae,Caesalpinia,barahonensis,
caesalpinia bonduc,Fabaceae,Caesalpinia,bonduc,
caesalpinia brasilensis,Fabaceae,Caesalpinia,brasilensis,
caesalpinia ciliata,Fabaceae,Caesalpinia,ciliata,
caesalpinia coriaria,Fabaceae,Caesalpinia,coriaria,1.05
caesalpinia globulorum,Fabaceae,Caesalpinia,globulorum,
caesalpinia praecox,Fabaceae,Caesalpinia,praecox,
caesalpinia pulcherrima,Fabaceae,Caesalpinia,pulcherrima,
caesalpinia spp.,Fabaceae,Caesalpinia,,
caesalpinia vesicaria,Fabaceae,Caesalpinia,vesicaria,
calliandra calothyrsus,Fabaceae,Calliandra,calothyrsus,
calliandra caracasana,Fabaceae,Calliandra,caracasana,
calliandra cubensis,Fabaceae,Calliandra,cubensis,
calliandra haematomma,Fabaceae,Calliandra,haematomma,
calliandra nervosa,Fabaceae,Calliandra,nervosa,
calliandra portoricensis,Fabaceae,Calliandra,portoricensis,
calliandra schultzei,Fabaceae,Calliandra,schultzei,
calliandra surinamensis,Fabaceae,Calliandra,surinamensis,
callistemon citrinus,Myrtaceae,Callistemon,citrinus,
calophyllum brasiliense,Clusiaceae,Calophyllum,brasiliense,
calophyllum calaba,Clusiaceae,Calophyllum,calaba,0.46
calotropis procera,Asclepiadadceae,Calotropis,procera,
calycogonium spp.,Melastomataceae,Calycogonium,,0.74
calyptranthes pallens,Myrtaceae,Calyptranthes,pallens,
calyptranthes sintenisii,Myrtaceae,Calyptranthes,sintenisii,
calyptranthes spp.,Myrtaceae,Calyptranthes,,
calyptranthes syzygium,Myrtaceae,Calyptranthes,syzygium,
calyptronoma plumeriana,Arecaceae,Calyptronoma,plumeriana,
calyptronoma rivalis,Arecaceae,Calyptronoma,rivalis,
cameraria angustifolia,Apocynaceae,Cameraria,angustifolia,
cameraria latifolia,Apocynaceae,Cameraria,latifolia,
cameraria linearifolia,Apocynaceae,Cameraria,linearifolia,
cananga odorata,Annonaceae,Cananga,odorata,0.3
canella winterana,Canellaceae,Canella,winterana,0.95
capparis amplissima,Brassicaceae,Capparis,amplissima,
capparis cynophallophora,Brassicaceae,Capparis,cynophallophora,
capparis dolichopoda,Brassicaceae,Capparis,dolichopoda,
capparis ferruginea,Brassicaceae,Capparis,ferruginea,
capparis flexuosa,Brassicaceae,Capparis,flexuosa,0.825
capparis frondosa,Brassicaceae,Capparis,frondosa,
capparis gonaivensis,Brassicaceae,Capparis,gonaivensis,
capparis hastata,Brassicaceae,Capparis,hastata,
capparis indica,Brassicaceae,Capparis,indica,
capparis spp.,,Capparis,,
carapa guianensis,Meliaceae,Carapa,guianensis,0.585
carica papaya,Caricaceae,Carica,papaya,
casearia aculeata,Flacourtiaceae,Casearia,aculeata,
casearia arborea,Flacourtiaceae,Casearia,arborea,
casearia decandra,Flacourtiaceae,Casearia,decandra,
casearia guianensis,Flacourtiaceae,Casearia,guianensis,
casearia ilicifolia,Flacourtiaceae,Casearia,ilicifolia,
casearia nitida,Flacourtiaceae,Casearia,nitida,
casearia spp.,Flacourtiaceae,Casearia,,0.7
casearia sylvestris,Flacourtiaceae,Casearia,sylvestris,
casimora edulis,Rutaceae,Casimora,edulis,
cassia fistula,Fabaceae,Cassia,fistula,0.9
cassia grandis,Fabaceae,Cassia,grandis,
cassia javanica,Fabaceae,Cassia,javanica,
cassia spp.,Fabaceae,Cassia,,
cassine xylocarpa,Celastraceae,Cassine,xylocarpa,
cassipourea guianensis,Rhizophoraceae,Cassipourea,guianensis,
cassipourea obtusa,Rhizophoraceae,Cassipourea,obtusa,
castanea sativa,Fagaceae,Castanea,sativa,
castella depressa,Simaroubaceae,Castella,depressa,
castilla elastica supsp. elastica,Moraceae,Castilla,elastica,
casuarina cristata,Casuarinaceae,Casuarina,cristata,
casuarina equisetifolia,Casuarinaceae,Casuarina,equisetifolia,
casuarina glauca,Casuarinaceae,Casuarina,glauca,
casuarina spp.,Casuarinaceae,Casuarina,,0.99
catalpa longissima,Bignoniaceae,Catalpa,longissima,0.7
cecropia peltata,Moraceae,Cecropia,peltata,0.33
cecropia spp.,Moraceae,Cecropia,,
cedrela odorata,Meliaceae,Cedrela,odorata,0.485
ceiba pentandra,Bombacaceae,Ceiba,pentandra,0.315
celtis spp.,,Celtis,,
celtis trinervia,Ulmaceae,Celtis,trinervia,
cereus hexagonus,Cactaceae,Cereus,hexagonus,
cestrum diurnum,Solanaceae,Cestrum,diurnum,
cestrum macrophyllum,Solanaceae,Cestrum,macrophyllum,
cestrum nocturnum,Solanaceae,Cestrum,nocturnum,
chaetocarpus globosus,Euphorbiaceae,Chaetocarpus,globosus,
chiococca alba,Rubiaceae,Chiococca,alba,
chionanthus axilliflorus,Oleaceae,Chionanthus,axilliflorus,
chionanthus compactus,Oleaceae,Chionanthus,compactus,
chionanthus domingensis,Oleaceae,Chionanthus,domingensis,
chionanthus ligustrinus,Oleaceae,Chionanthus,ligustrinus,
chione venosa,Rubiaceae,Chione,venosa,
chorisia insignis,Bombacaceae,Chorisia,insignis,
chorisia speciosa,Bombacaceae,Chorisia,speciosa,
chrysalidocarpus lutescens,Arecaceae,Chrysalidocarpus,lutescens,
chrysobalanus icaco,Chrysobalanaceae,Chrysobalanus,icaco,0.8
chrysophyllum argenteum,Sapotaceae,Chrysophyllum,argenteum,
chrysophyllum bicolor,Sapotaceae,Chrysophyllum,bicolor,
chrysophyllum cainito,Sapotaceae,Chrysophyllum,cainito,0.7
chrysophyllum oliviforme,Sapotaceae,Chrysophyllum,oliviforme,0.9
chrysophyllum spp.,Sapotaceae,Chrysophyllum,,
cinnamodendron ekmanii,Canellaceae,Cinnamodendron,ekmanii,
cinnamomum camphora,Lauraceae,Cinnamomum,camphora,
cinnamomum elongatum,Lauraceae,Cinnamomum,elongatum,0.47
cinnamomum montanum,Lauraceae,Cinnamomum,montanum,
cinnamomum spp.,Lauraceae,Cinnamomum,,0.52
cinnamomum triplinerve,Lauraceae,Cinnamomum,triplinerve,
cinnamomum verum,Lauraceae,Cinnamomum,verum,
citharexylum caudatum,Verbenaceae,Citharexylum,caudatum,
citharexylum fruticosum,Verbenaceae,Citharexylum,fruticosum,0.8
citharexylum spp.,Verbenaceae,Citharexylum,,
citrus aurantifolia,Rutaceae,Citrus,aurantifolia,
citrus aurantium,Rutaceae,Citrus,aurantium,
citrus limetta,Rutaceae,Citrus,limetta,
citrus limon,Rutaceae,Citrus,limon,
citrus maxima,Rutaceae,Citrus,maxima,
citrus medica,Rutaceae,Citrus,medica,
citrus reticulata,Rutaceae,Citrus,reticulata,
citrus sinensis,Rutaceae,Citrus,sinensis,
citrus spp.,Rutaceae,Citrus,,
citrus x paradisi,Rutaceae,Citrus,x,
clavija domingensis,Theophrastaceae,Clavija,domingensis,
cleyera spp.,Theaceae,Cleyera,,
clusia clusiodes,Clusiaceae,Clusia,clusiodes,0.9
clusia major,Clusiaceae,Clusia,major,
clusia minor,Clusiaceae,Clusia,minor,
clusia rosea,Clusiaceae,Clusia,rosea,
clusia spp.,Clusiaceae,Clusia,,
cnemidaria horrida,Cyatheaceae,Cnemidaria,horrida,
coccoloba buchii,Polygonaceae,Coccoloba,buchii,
coccoloba costata,Polygonaceae,Coccoloba,costata,
coccoloba diversifolia,Polygonaceae,Coccoloba,diversifolia,0.8
coccoloba krugii,Polygonaceae,Coccoloba,krugii,
coccoloba leoganensis,Polygonaceae,Coccoloba,leoganensis,0.895
coccoloba microstachys,Polygonaceae,Coccoloba,microstachys,
coccoloba pubescens,Polygonaceae,Coccoloba,pubescens,1.05
coccoloba spp.,Polygonaceae,Coccoloba,,
coccoloba swartzii,Polygonaceae,Coccoloba,swartzii,0.7
coccoloba uvifera,Polygonaceae,Coccoloba,uvifera,0.7
coccoloba venosa,Polygonaceae,Coccoloba,venosa,
coccoloba wrightii,Polygonaceae,Coccoloba,wrightii,
coccothrinax argentata,,Coccothrinax,argentata,
coccothrinax argentea,Arecaceae,Coccothrinax,argentea,
coccothrinax barbadensis,Arecaceae,Coccothrinax,barbadensis,
coccothrinax ekmanii,Arecaceae,Coccothrinax,ekmanii,
coccothrinax gracilis,Arecaceae,Coccothrinax,gracilis,
coccothrinax miraguama,Arecaceae,Coccothrinax,miraguama,
coccothrinax spissa,Arecaceae,Coccothrinax,spissa,
coccothrinax spp.,Arecaceae,Coccothrinax,,
cochlospermum vitifolium,Cochlospermaceae,Cochlospermum,vitifolium,
cocos nucifera,Arecaceae,Cocos,nucifera,
codiaeum variegatum,Euphorbiaceae,Codiaeum,variegatum,
coffea arabica,Rubiaceae,Coffea,arabica,
cojoba arborea,,Cojoba,arborea,
cola acuminata,Malvaceae,Cola,acuminata,
colubrina arborescens,Rhamnaceae,Colubrina,arborescens,0.685
colubrina berteroana,Rhamnaceae,Colubrina,berteroana,
colubrina elliptica,Rhamnaceae,Colubrina,elliptica,0.8
colubrina glandulosa,Rhamnaceae,Colubrina,glandulosa,
colubrina spp.,Rhamnaceae,Colubrina,,
comocladia cuneata,Anacardiaceae,Comocladia,cuneata,
comocladia dentata,Anacardiaceae,Comocladia,dentata,
comocladia dodonaea,Anacardiaceae,Comocladia,dodonaea,
comocladia domingensis,Anacardiaceae,Comocladia,domingensis,
comocladia edmaniana,Anacardiaceae,Comocladia,edmaniana,
comocladia ehrenbergii,Anacardiaceae,Comocladia,ehrenbergii,
comocladia gilgiana,Anacardiaceae,Comocladia,gilgiana,
comocladia glabra,Anacardiaceae,Comocladia,glabra,
comocladia mollifolia,Anacardiaceae,Comocladia,mollifolia,
comocladia pinnatifolia,Anacardiaceae,Comocladia,pinnatifolia,
comocladia pubescens,Anacardiaceae,Comocladia,pubescens,
comocladia spp.,Anacardiaceae,Comocladia,,
conocarpus erectus,Combretaceae,Conocarpus,erectus,0.95
conocarpus spp.,,Conocarpus,,
consolea macracantha,Cactaceae,Consolea,macracantha,
copaifera officinalis,Fabaceae,Copaifera,officinalis,
copernicia berteroana,Arecaceae,Copernicia,berteroana,
copernicia ekmanii,Arecaceae,Copernicia,ekmanii,
cordia alba,Boraginaceae,Cordia,alba,
cordia alliodora,Boraginaceae,Cordia,alliodora,0.46
cordia collococca,Boraginaceae,Cordia,collococca,
cordia cuneiformis,,Cordia,cuneiformis,
cordia gerascanthes,Boraginaceae,Cordia,gerascanthes,
cordia laevigata,Boraginaceae,Cordia,laevigata,
cordia mirabiloides,Boraginaceae,Cordia,mirabiloides,
cordia obliqua,Boraginaceae,Cordia,obliqua,
cordia sebestena,Boraginaceae,Cordia,sebestena,0.7
cordia spp. (dark-wooded),Boraginaceae,Cordia,,0.65
cordia sulcata,Boraginaceae,Cordia,sulcata,0.6
cornutia pyramidata,Verbenaceae,Cornutia,pyramidata,
couroupita guianensis,Lecythidaceae,Couroupita,guianensis,
crescentia cujete,Bignoniaceae,Crescentia,cujete,0.65
crescentia linearifolia,Bignoniaceae,Crescentia,linearifolia,
crossopetalum rhacoma,Celastraceae,Crossopetalum,rhacoma,
croton corylifolius,Euphorbiaceae,Croton,corylifolius,
croton eluteria,Euphorbiaceae,Croton,eluteria,
croton glabellus,Euphorbiaceae,Croton,glabellus,
croton lucidus,Euphorbiaceae,Croton,lucidus,
crudia spicata,Fabaceae,Crudia,spicata,
cryptorhiza haitiensis,Myrtaceae,Cryptorhiza,haitiensis,
cubanthus umbelliformis,Euphorbiaceae,Cubanthus,umbelliformis,
cupania americana,Sapindaceae,Cupania,americana,0.4
cupania glabra,Sapindaceae,Cupania,glabra,
cupania triquetra,Sapindaceae,Cupania,triquetra,
cupressus lusitanica,Cupressaceae,Cupressus,lusitanica,0.46
cupressus sempervirens,Cupressaceae,Cupressus,sempervirens,
cupressus spp.,,Cupressus,,
curatella americana,Dilleniaceae,Curatella,americana,
cyathea aquilina,Cyatheaceae,Cyathea,aquilina,
cyathea arborea,Cyatheaceae,Cyathea,arborea,
cyathea escuquensis,Cyatheaceae,Cyathea,escuquensis,
cyathea furfuracea,Cyatheaceae,Cyathea,furfuracea,
cyathea harrisii,Cyatheaceae,Cyathea,harrisii,
cyathea tenera,Cyatheaceae,Cyathea,tenera,
cyathea wilsonii,Cyatheaceae,Cyathea,wilsonii,
cycas circinalis,Cycadaceae,Cycas,circinalis,
cycas revoluta,Cycadaceae,Cycas,revoluta,
cynometra americana,Fabaceae,Cynometra,americana,
cynometra portoricensis,Fabaceae,Cynometra,portoricensis,
cyphomandra betacea,Solanaceae,Cyphomandra,betacea,
cyrilla racemiflora,Cyrillaceae,Cyrilla,racemiflora,0.53
dalbergia berterii,Fabaceae,Dalbergia,berterii,
dalbergia ecastaphyllum,Fabaceae,Dalbergia,ecastaphyllum,
dalbergia monetaria,Fabaceae,Dalbergia,monetaria,
dalbergia sisoo,Fabaceae,Dalbergia,sisoo,0.8049999999999999
dalbergia spp.,,Dalbergia,,
daphnopsis americana,Thymeliaceae,Daphnopsis,americana,
daphnopsis crassifolia,Thymeliaceae,Daphnopsis,crassifolia,
datura arborea,,Datura,arborea,
datura suaveolens,Solanaceae,Datura,suaveolens,
delonix regia ,Fabaceae,Delonix,regia,0.8
dendropanax arboreus,Araliaceae,Dendropanax,arboreus,0.46
dendropanax selleanus,Araliaceae,Dendropanax,selleanus,
dendropanax spp.,,Dendropanax,,
dendrosicus latifolius,Bignoniaceae,Dendrosicus,latifolius,
dillenia indica,Dilleniaceae,Dillenia,indica,
diospyros caribea,Ebenaceae,Diospyros,caribea,
diospyros domingensis,Ebenaceae,Diospyros,domingensis,
diospyros revoluta,Ebenaceae,Diospyros,revoluta,
diospyros spp.,Ebenaceae,Diospyros,,0.7
diospyros tetrasperma,Ebenaceae,Diospyros,tetrasperma,
ditta myricoides,Euphorbiaceae,Ditta,myricoides,
dodonaea viscosa,Sapindaceae,Dodonaea,viscosa,
dovyalis caffra,Flacourtiaceae,Dovyalis,caffra,
dovyalis hebecarpa,Flacourtiaceae,Dovyalis,hebecarpa,
dracaena fragrans,Liliaceae,Dracaena,fragrans,
drypetes alba,Euphorbiaceae,Drypetes,alba,
drypetes glauca,Euphorbiaceae,Drypetes,glauca,
drypetes ilicifolia,Euphorbiaceae,Drypetes,ilicifolia,
drypetes lateriflora,Euphorbiaceae,Drypetes,lateriflora,
drypetes picardae,Euphorbiaceae,Drypetes,picardae,
drypetes spp.,Euphorbiaceae,Drypetes,,
duranta repens,Verbenaceae,Duranta,repens,
ehretia tinifolia,Boraginaceae,Ehretia,tinifolia,
elaeis guineensis,Arecaceae,Elaeis,guineensis,
enterolobium cyclocarpum,Fabaceae,Enterolobium,cyclocarpum,0.495
eriobotrya japonica,Rosaceae,Eriobotrya,japonica,
erithalis fruticosa,Rubiaceae,Erithalis,fruticosa,
erythrina berteroana,Fabaceae,Erythrina,berteroana,0.3
erythrina buchii,Fabaceae,Erythrina,buchii,
erythrina corallodendrum,Fabaceae,Erythrina,corallodendrum,
erythrina crista-galli,Fabaceae,Erythrina,crista-galli,
erythrina fusca,Fabaceae,Erythrina,fusca,
erythrina leptopoda,Fabaceae,Erythrina,leptopoda,
erythrina poeppigiana,Fabaceae,Erythrina,poeppigiana,
erythrina spp.,,Erythrina,,
erythrina variegata,Fabaceae,Erythrina,variegata,
erythroxylum areolatum,Erythroxylaceae,Erythroxylum,areolatum,
erythroxylum havanense,Erythroxylaceae,Erythroxylum,havanense,
erythroxylum minutifolium,Erythroxylaceae,Erythroxylum,minutifolium,
erythroxylum rotundifolium,Erythroxylaceae,Erythroxylum,rotundifolium,
eucalyptus camaldulensis,Myrtaceae,Eucalyptus,camaldulensis,
eucalyptus globulus,Myrtaceae,Eucalyptus,globulus,0.7350000000000001
eucalyptus spp.,Myrtaceae,Eucalyptus,,
eucalyptus tereticornis,Myrtaceae,Eucalyptus,tereticornis,
eugenia axillaris,Myrtaceae,Eugenia,axillaris,
eugenia biflora,Myrtaceae,Eugenia,biflora,
eugenia carophylla,Myrtaceae,Eugenia,carophylla,
eugenia confusa,Myrtaceae,Eugenia,confusa,
eugenia dictyophylla,Myrtaceae,Eugenia,dictyophylla,
eugenia domingensis,Myrtaceae,Eugenia,domingensis,
eugenia foetida,Myrtaceae,Eugenia,foetida,
eugenia glabrata,Myrtaceae,Eugenia,glabrata,
eugenia laevis,Myrtaceae,Eugenia,laevis,
eugenia ligustrina,Myrtaceae,Eugenia,ligustrina,
eugenia maleolens,Myrtaceae,Eugenia,maleolens,
eugenia monticola ,Myrtaceae,Eugenia,monticola,
eugenia odorata,Myrtaceae,Eugenia,odorata,
eugenia procera,Myrtaceae,Eugenia,procera,
eugenia pseudopsidium,Myrtaceae,Eugenia,pseudopsidium,1.3
eugenia rhombea,Myrtaceae,Eugenia,rhombea,
eugenia spp.,,Eugenia,,
eugenia uniflora,Myrtaceae,Eugenia,uniflora,
euphorbia lactea,Euphorbiaceae,Euphorbia,lactea,
euphorbia leucocephala,Euphorbiaceae,Euphorbia,leucocephala,
euphorbia milii,Euphorbiaceae,Euphorbia,milii,
euphorbia petiolaris,Euphorbiaceae,Euphorbia,petiolaris,
euphorbia pulcherrima,Euphorbiaceae,Euphorbia,pulcherrima,
euphorbia spp.,Euphorbiaceae,Euphorbia,,
euphorbia tirucalli,Euphorbiaceae,Euphorbia,tirucalli,
exostema caribaem,Rubiaceae,Exostema,caribaem,1.055
exostema ellipticum,Rubiaceae,Exostema,ellipticum,
exostema sanctae-luciae,Rubiaceae,Exostema,sanctae-luciae,
exothea paniculata,Sapindaceae,Exothea,paniculata,
faramea occidentalis,Rubiaceae,Faramea,occidentalis,
ficus americana,,Ficus,americana,
ficus benjamina,Moraceae,Ficus,benjamina,
ficus carica,Moraceae,Ficus,carica,
ficus citrifolia,Moraceae,Ficus,citrifolia,0.4
ficus elastica,Moraceae,Ficus,elastica,
ficus microcarpa,Moraceae,Ficus,microcarpa,0.5
ficus religiosa,Moraceae,Ficus,religiosa,
ficus spp.,,Ficus,,
ficus trigonata,Moraceae,Ficus,trigonata,
forestiera rhamnifolia,Oleaceae,Forestiera,rhamnifolia,
forestiera segregata,Oleaceae,Forestiera,segregata,
fortunella spp.,Rutaceae,Fortunella,,
garcia nutans,Euphorbiaceae,Garcia,nutans,
garcinia aristata,Clusiaceae,Garcinia,aristata,
garcinia humilis,,Garcinia,humilis,
garcinia humilis,Clusiaceae,Garcinia,humilis,
garcinia mangostana,Clusiaceae,Garcinia,mangostana,
garcinia spp. ,Clusiaceae,Garcinia,,0.7150000000000001
garcinia verticillata,Clusiaceae,Garcinia,verticillata,
garrya fadyenii,Garryaceae,Garrya,fadyenii,
genipa americana var. caruto,Rubiaceae,Genipa,americana,0.5900000000000001
geonoma interrupta var. interrupta,Arecaceae,Geonoma,interrupta,
gesneria spp.,Gesneriaceae,Gesneria,,
ginoria rohrii,Lythraceae,Ginoria,rohrii,
gliricidia sepium,Fabaceae,Gliricidia,sepium,0.61
gmelina arborea,Verbenaceae,Gmelina,arborea,0.46
gomidesia lindeniana,Myrtaceae,Gomidesia,lindeniana,
grevillea robusta,Proteaceae,Grevillea,robusta,0.46
guaiacum officinale,Zygophyllaceae,Guaiacum,officinale,
guaiacum sanctum,Zygophyllaceae,Guaiacum,sanctum,
guaiacum spp.,Zygophyllaceae,Guaiacum,,1.095
guapira discolor,Nyctaginaceae,Guapira,discolor,
guapira domingensis,Nyctaginaceae,Guapira,domingensis,
guapira fragrans,Nyctaginaceae,Guapira,fragrans,
guapira ligustrifolia,Nyctaginaceae,Guapira,ligustrifolia,
guapira obtusata,Nyctaginaceae,Guapira,obtusata,
guarea guidonia,Meliaceae,Guarea,guidonia,
guarea spp.,Meliaceae,Guarea,,0.525
guatteria blainii,Annonaceae,Guatteria,blainii,0.8
guazuma ulmifolia,Malvaceae,Guazuma,ulmifolia,0.5
guettarda elliptica,Rubiaceae,Guettarda,elliptica,
guettarda lucida,,Guettarda,lucida,
guettarda multinervis,Rubiaceae,Guettarda,multinervis,
guettarda ovalifolia,Rubiaceae,Guettarda,ovalifolia,
guettarda pungens,Rubiaceae,Guettarda,pungens,
guettarda spp. ,Rubiaceae,Guettarda,,0.815
guettarda valenzuelana,Rubiaceae,Guettarda,valenzuelana,
gymindia latifolia,Celastraceae,Gymindia,latifolia,
gymnanthes lucida ,Euphorbiaceae,Gymnanthes,lucida,1.1
haematoxylum brasiletto,Fabaceae,Haematoxylum,brasiletto,0.8049999999999999
haematoxylum campechianum,Fabaceae,Haematoxylum,campechianum,0.745
haematoxylum spp.,Fabaceae,Haematoxylum,,
haenianthus salicifolius,Oleaceae,Haenianthus,salicifolius,
hamelia patens,Rubiaceae,Hamelia,patens,
